                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.0131,                0.54141,                 1.0267,                 0.9961,                      1,                  0.995,                0.81997,                0.68699,                 0.4157,                0.93382,              0.0017901,              0.0017901,              0.0017901
                     55,                  1.045,                0.65646,                  1.129,                0.99647,                      1,                  0.995,                0.82776,                0.70321,                0.39184,                 0.9419,              0.0017862,              0.0017862,              0.0017862
                     56,                0.92572,                0.52786,                 1.0328,                0.99596,                      1,                  0.995,                0.76665,                0.84467,                 0.4414,                0.99974,              0.0017822,              0.0017822,              0.0017822
                     57,                0.92037,                0.51416,                   1.02,                0.99533,                      1,                  0.995,                0.79305,                0.76306,                0.40932,                0.94963,              0.0017782,              0.0017782,              0.0017782
                     58,                0.91171,                0.54013,                 1.0263,                0.99467,                      1,                  0.995,                0.80006,                0.70934,                 0.4047,                0.94415,              0.0017743,              0.0017743,              0.0017743
                     59,                0.85949,                0.50159,                0.99352,                0.99307,                      1,                  0.995,                0.81968,                0.71886,                 0.4015,                0.94057,              0.0017703,              0.0017703,              0.0017703
                     60,                0.93094,                0.64315,                 1.1241,                0.98218,                      1,                  0.995,                0.81314,                0.75894,                0.43155,                0.94023,              0.0017664,              0.0017664,              0.0017664
                     61,                0.83258,                0.51349,                0.97387,                  0.996,                      1,                  0.995,                0.80442,                0.82356,                0.43277,                0.97861,              0.0017624,              0.0017624,              0.0017624
                     62,                 0.8333,                0.47442,                 0.9805,                  0.996,                      1,                  0.995,                0.80442,                0.82356,                0.43277,                0.97861,              0.0017584,              0.0017584,              0.0017584
                     63,                0.93965,                0.56083,                 1.1182,                0.99635,                      1,                  0.995,                 0.8035,                 0.7781,                0.39161,                0.96504,              0.0017545,              0.0017545,              0.0017545
                     64,                0.86464,                0.50885,                0.99562,                0.99684,                      1,                  0.995,                0.83689,                0.72587,                0.38512,                 0.9381,              0.0017505,              0.0017505,              0.0017505
                     65,                0.89326,                0.53603,                 1.0198,                0.99622,                      1,                  0.995,                0.78581,                 0.8481,                0.41894,                 1.0061,              0.0017466,              0.0017466,              0.0017466
                     66,                0.86453,                0.50281,                 1.0025,                0.99014,                      1,                  0.995,                0.79946,                0.78498,                0.41671,                0.95051,              0.0017426,              0.0017426,              0.0017426
                     67,                0.88982,                0.53014,                 1.0606,                0.99582,                      1,                  0.995,                0.69385,                 1.0043,                0.44153,                 1.0949,              0.0017386,              0.0017386,              0.0017386
                     68,                 1.0269,                0.52621,                 1.0566,                0.99659,                      1,                  0.995,                0.70741,                0.99017,                 0.4421,                 1.0912,              0.0017347,              0.0017347,              0.0017347
                     69,                 1.0187,                0.61345,                 1.1274,                0.99574,                      1,                  0.995,                0.81777,                0.71759,                0.41501,                0.94036,              0.0017307,              0.0017307,              0.0017307
                     70,                0.90182,                0.57513,                 1.0337,                0.99574,                      1,                  0.995,                0.81777,                0.71759,                0.41501,                0.94036,              0.0017268,              0.0017268,              0.0017268
                     71,                0.99637,                  1.295,                 1.1723,                0.99293,                      1,                  0.995,                0.80643,                0.82404,                0.42267,                0.95885,              0.0017228,              0.0017228,              0.0017228
                     72,                0.96458,                0.54055,                 1.0635,                0.99276,                      1,                  0.995,                0.79141,                0.82422,                0.42431,                0.96056,              0.0017188,              0.0017188,              0.0017188
                     73,                0.96847,                0.58778,                 1.0788,                0.99288,                      1,                  0.995,                0.78633,                0.80909,                0.42616,                0.96487,              0.0017149,              0.0017149,              0.0017149
                     74,                0.89874,                0.48702,                0.98371,                0.99684,                      1,                  0.995,                0.82619,                0.75477,                0.40143,                0.95939,              0.0017109,              0.0017109,              0.0017109
                     75,                0.90314,                0.51236,                 1.0099,                0.99669,                      1,                  0.995,                0.78656,                0.85652,                 0.4028,                 1.0032,               0.001707,               0.001707,               0.001707
                     76,                 0.9685,                0.53326,                 1.0389,                0.99707,                      1,                  0.995,                0.80301,                0.79903,                0.38779,                0.98666,               0.001703,               0.001703,               0.001703
                     77,                0.93625,                 0.5579,                 1.0392,                0.99718,                      1,                  0.995,                0.83849,                0.75281,                0.39307,                0.95864,               0.001699,               0.001699,               0.001699
                     78,                 0.9615,                0.53973,                 1.0761,                0.99718,                      1,                  0.995,                0.83849,                0.75281,                0.39307,                0.95864,              0.0016951,              0.0016951,              0.0016951
                     79,                 0.8655,                0.49571,                  0.972,                0.99713,                      1,                  0.995,                0.82765,                0.77678,                0.38911,                0.97109,              0.0016911,              0.0016911,              0.0016911
                     80,                0.83819,                0.49613,                0.99707,                0.99696,                      1,                  0.995,                0.77966,                0.84918,                0.40959,                 1.0166,              0.0016872,              0.0016872,              0.0016872
                     81,                  0.866,                0.50771,                 1.0197,                0.99687,                      1,                  0.995,                0.80651,                0.74869,                0.38882,                0.95441,              0.0016832,              0.0016832,              0.0016832
                     82,                0.82329,                 0.4923,                0.99098,                0.99687,                      1,                  0.995,                 0.8403,                  0.709,                0.38166,                0.92924,              0.0016792,              0.0016792,              0.0016792
                     83,                0.83301,                0.48398,                0.99995,                0.99721,                      1,                  0.995,                0.86854,                0.66614,                0.37459,                0.92165,              0.0016753,              0.0016753,              0.0016753
                     84,                0.84105,                0.49882,                0.98785,                0.99721,                      1,                  0.995,                0.80872,                0.74302,                 0.3752,                0.94785,              0.0016713,              0.0016713,              0.0016713
                     85,                0.81784,                0.44372,                0.94521,                0.99719,                      1,                  0.995,                0.76937,                 0.8447,                0.38949,                0.99086,              0.0016674,              0.0016674,              0.0016674
                     86,                0.81209,                0.44628,                 0.9442,                0.99719,                      1,                  0.995,                0.76937,                 0.8447,                0.38949,                0.99086,              0.0016634,              0.0016634,              0.0016634
                     87,                0.84136,                0.49573,                 1.0105,                0.99716,                      1,                  0.995,                0.80571,                0.72088,                0.37197,                0.95472,              0.0016594,              0.0016594,              0.0016594
                     88,                0.79537,                0.43822,                0.94953,                0.99725,                      1,                  0.995,                0.84903,                0.65419,                0.34539,                0.91699,              0.0016555,              0.0016555,              0.0016555
                     89,                0.84808,                0.46504,                 0.9793,                0.99703,                      1,                  0.995,                0.82609,                0.70901,                0.36659,                0.94439,              0.0016515,              0.0016515,              0.0016515
                     90,                0.83325,                0.47667,                0.99779,                0.99619,                      1,                  0.995,                0.84013,                0.64068,                0.35675,                0.91193,              0.0016476,              0.0016476,              0.0016476
                     91,                0.84094,                0.48246,                 0.9784,                0.99698,                      1,                  0.995,                0.84814,                0.65164,                0.37267,                0.91874,              0.0016436,              0.0016436,              0.0016436
                     92,                0.82038,                0.47334,                0.96307,                0.99713,                      1,                  0.995,                 0.8326,                0.69681,                0.37039,                 0.9282,              0.0016396,              0.0016396,              0.0016396
                     93,                0.82528,                0.52073,                 1.0006,                0.99685,                      1,                  0.995,                 0.8319,                0.62677,                0.37264,                0.90987,              0.0016357,              0.0016357,              0.0016357
                     94,                  1.017,                0.59813,                 1.1795,                0.99685,                      1,                  0.995,                 0.8319,                0.62677,                0.37264,                0.90987,              0.0016317,              0.0016317,              0.0016317
                     95,                0.86492,                0.46892,                0.95677,                0.99652,                      1,                  0.995,                0.81459,                0.72866,                0.41813,                0.93293,              0.0016278,              0.0016278,              0.0016278
                     96,                0.88707,                0.55811,                 1.0509,                0.99714,                      1,                  0.995,                0.84025,                0.62027,                0.39834,                0.89376,              0.0016238,              0.0016238,              0.0016238
                     97,                0.80409,                 0.4777,                 1.0001,                0.99716,                      1,                  0.995,                0.83933,                0.68961,                0.37513,                 0.9163,              0.0016198,              0.0016198,              0.0016198
                     98,                0.81752,                0.47995,                0.99009,                0.99694,                      1,                  0.995,                0.86226,                0.60411,                0.36504,                0.89253,              0.0016159,              0.0016159,              0.0016159
                     99,                 0.8515,                 0.4865,                 1.0191,                0.99714,                      1,                  0.995,                0.80667,                0.80947,                0.38305,                0.96386,              0.0016119,              0.0016119,              0.0016119
                    100,                0.92465,                0.52178,                  1.035,                0.99706,                      1,                  0.995,                0.80274,                0.77502,                 0.3433,                0.96327,               0.001608,               0.001608,               0.001608
                    101,                0.84454,                0.46962,                0.98722,                 0.9972,                      1,                  0.995,                0.82705,                0.69438,                0.35507,                0.93387,               0.001604,               0.001604,               0.001604
                    102,                  0.882,                0.49209,                 1.0004,                 0.9972,                      1,                  0.995,                0.82705,                0.69438,                0.35507,                0.93387,                 0.0016,                 0.0016,                 0.0016
                    103,                0.83628,                0.48833,                0.99213,                 0.9972,                      1,                  0.995,                 0.8308,                0.74112,                 0.3827,                0.94774,              0.0015961,              0.0015961,              0.0015961
                    104,                 0.8685,                0.49893,                 1.0025,                0.99716,                      1,                  0.995,                0.82772,                0.70606,                0.36525,                0.95103,              0.0015921,              0.0015921,              0.0015921
                    105,                0.82157,                0.50468,                 1.0105,                0.99713,                      1,                  0.995,                 0.8713,                0.63274,                0.36429,                0.90605,              0.0015882,              0.0015882,              0.0015882
                    106,                0.82997,                0.49946,                0.97765,                0.99725,                      1,                  0.995,                0.87038,                0.62844,                0.34271,                0.91115,              0.0015842,              0.0015842,              0.0015842
                    107,                0.81075,                0.46356,                0.97028,                0.99727,                      1,                  0.995,                0.85356,                0.63768,                0.37881,                0.90316,              0.0015802,              0.0015802,              0.0015802
                    108,                0.88607,                0.49447,                 1.0365,                0.99717,                      1,                  0.995,                0.84012,                0.67795,                0.38877,                0.91973,              0.0015763,              0.0015763,              0.0015763
                    109,                 0.8559,                 0.4803,                0.97196,                0.99699,                      1,                  0.995,                0.86227,                0.62692,                0.36683,                0.90354,              0.0015723,              0.0015723,              0.0015723
                    110,                0.79827,                0.47384,                0.95321,                0.99699,                      1,                  0.995,                0.86227,                0.62692,                0.36683,                0.90354,              0.0015684,              0.0015684,              0.0015684
                    111,                0.79653,                0.46183,                0.96603,                0.99689,                      1,                  0.995,                0.82607,                0.72466,                0.37714,                0.94358,              0.0015644,              0.0015644,              0.0015644
                    112,                0.80486,                0.49657,                 1.0366,                0.99718,                      1,                  0.995,                0.82674,                0.76964,                0.39513,                0.96158,              0.0015604,              0.0015604,              0.0015604
                    113,                0.80497,                0.45422,                0.94146,                0.99728,                      1,                  0.995,                0.84618,                0.67602,                0.38659,                0.92487,              0.0015565,              0.0015565,              0.0015565
                    114,                0.81078,                0.47474,                0.98699,                0.99731,                      1,                  0.995,                 0.8596,                0.62072,                0.38148,                0.91115,              0.0015525,              0.0015525,              0.0015525
                    115,                0.83697,                0.48068,                 0.9646,                 0.9973,                      1,                  0.995,                0.89064,                0.61836,                0.37562,                0.90466,              0.0015486,              0.0015486,              0.0015486
                    116,                0.73306,                0.44436,                0.93671,                0.99728,                      1,                  0.995,                0.86445,                0.65293,                0.35609,                0.92009,              0.0015446,              0.0015446,              0.0015446
                    117,                0.80118,                0.47805,                 0.9683,                0.99715,                      1,                  0.995,                0.85984,                0.71016,                0.36104,                0.93803,              0.0015406,              0.0015406,              0.0015406
                    118,                0.81051,                0.46825,                 1.0117,                0.99715,                      1,                  0.995,                0.85984,                0.71016,                0.36104,                0.93803,              0.0015367,              0.0015367,              0.0015367
                    119,                0.76478,                 0.4591,                0.97762,                0.99682,                      1,                  0.995,                0.87454,                0.54729,                0.33425,                0.87372,              0.0015327,              0.0015327,              0.0015327
                    120,                0.76507,                 0.4503,                0.95582,                0.99671,                      1,                  0.995,                0.87334,                0.55262,                0.33918,                0.87494,              0.0015288,              0.0015288,              0.0015288
