                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.95982,                0.56158,                 1.0293,                0.94065,                      1,                  0.995,                0.67382,                  1.191,                0.67796,                 1.2142,              0.0017822,              0.0017822,              0.0017822
                     57,                 0.9351,                0.60031,                 1.0449,                0.94953,                      1,                0.99318,                0.62233,                 1.2504,                0.86875,                 1.2556,              0.0017782,              0.0017782,              0.0017782
                     58,                0.99508,                0.57201,                 1.0912,                0.94953,                      1,                0.99318,                0.62233,                 1.2504,                0.86875,                 1.2556,              0.0017743,              0.0017743,              0.0017743
                     59,                 1.0032,                0.63086,                  1.106,                0.94953,                      1,                0.99318,                0.62233,                 1.2504,                0.86875,                 1.2556,              0.0017703,              0.0017703,              0.0017703
                     60,                 1.0332,                 0.5758,                 1.0028,                0.98982,                      1,                  0.995,                0.69577,                 1.0663,                0.65994,                 1.2097,              0.0017664,              0.0017664,              0.0017664
                     61,                0.85947,                0.55462,                 1.0067,                0.98982,                      1,                  0.995,                0.69577,                 1.0663,                0.65994,                 1.2097,              0.0017624,              0.0017624,              0.0017624
                     62,                0.91318,                0.57243,                0.95527,                0.98982,                      1,                  0.995,                0.69577,                 1.0663,                0.65994,                 1.2097,              0.0017584,              0.0017584,              0.0017584
                     63,                0.91003,                 0.5475,                0.96601,                0.99317,                      1,                  0.995,                0.67521,                 1.0599,                0.56486,                 1.1559,              0.0017545,              0.0017545,              0.0017545
                     64,                 1.0405,                0.64291,                  1.105,                0.99317,                      1,                  0.995,                0.67521,                 1.0599,                0.56486,                 1.1559,              0.0017505,              0.0017505,              0.0017505
                     65,                 1.0506,                0.59283,                 1.1356,                0.99167,                      1,                  0.995,                 0.6566,                 1.0845,                 0.5133,                 1.1791,              0.0017466,              0.0017466,              0.0017466
                     66,                  0.833,                0.53543,                0.96333,                0.99167,                      1,                  0.995,                 0.6566,                 1.0845,                 0.5133,                 1.1791,              0.0017426,              0.0017426,              0.0017426
                     67,                0.97005,                0.70524,                 1.1428,                0.99167,                      1,                  0.995,                 0.6566,                 1.0845,                 0.5133,                 1.1791,              0.0017386,              0.0017386,              0.0017386
                     68,                0.93933,                 0.5489,                0.97415,                0.98602,                      1,                  0.995,                0.64235,                 1.1684,                0.53644,                 1.2624,              0.0017347,              0.0017347,              0.0017347
                     69,                0.99309,                0.58707,                  1.042,                0.98602,                      1,                  0.995,                0.64235,                 1.1684,                0.53644,                 1.2624,              0.0017307,              0.0017307,              0.0017307
                     70,                0.94574,                0.55344,                0.97424,                0.98602,                      1,                  0.995,                0.64235,                 1.1684,                0.53644,                 1.2624,              0.0017268,              0.0017268,              0.0017268
                     71,                0.88647,                0.51036,                 1.0086,                0.96567,                      1,                  0.995,                  0.676,                 1.1437,                0.59423,                 1.2516,              0.0017228,              0.0017228,              0.0017228
